MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg/L,COND_mS/m,Ca_meq/L,Mg_meq/L,Na_meq/L,K_meq/L,ALK_meq/L,Cl_meq/L,SO4_meq/L,NO32_mg/L,NH4N_mg/L,TOTP_mg/L,DO_mg/L,CODMN_mg/L
Lao PDR,H390199,2001-02-15,2001,2,15,26.6,7.81,20.0,13.9,0.644,0.788,0.032,0.008,1.345,0.035,0.12,0.004,0.043,0.01,9.0,0.9
Lao PDR,H390199,2001-03-13,2001,3,13,27.6,7.12,16.0,14.4,0.802,0.723,0.03,0.007,1.648,0.041,0.111,0.122,0.044,0.011,9.0,1.3
Lao PDR,H390199,2001-04-18,2001,4,18,28.0,7.15,18.0,13.8,0.888,0.514,0.029,0.009,1.02,0.038,0.112,0.114,0.051,0.021,9.0,1.3
Lao PDR,H390199,2001-05-17,2001,5,17,27.2,7.1,30.0,13.0,0.608,0.596,0.026,0.004,1.291,0.015,0.113,0.123,0.045,0.022,9.0,1.2
Lao PDR,H390199,2001-06-13,2001,6,13,27.6,7.3,44.0,10.8,0.698,0.387,0.026,0.004,0.553,0.028,0.11,0.19,0.136,0.163,8.01,1.4
Lao PDR,H390199,2001-07-18,2001,7,18,28.4,7.39,60.0,6.6,0.371,0.315,0.025,0.005,0.576,0.055,0.058,0.17,0.081,0.056,8.05,1.2
Lao PDR,H390199,2001-08-16,2001,8,16,28.6,7.2,95.0,5.51,0.372,0.186,0.022,0.003,0.47,0.028,0.039,0.198,0.043,0.053,8.94,1.6
Lao PDR,H390199,2001-09-17,2001,9,17,27.2,7.25,120.0,7.5,0.299,0.398,0.02,0.004,0.739,0.011,0.031,0.122,0.043,0.053,7.9,3.3
Lao PDR,H390199,2001-10-14,2001,10,14,27.4,7.92,111.0,9.3,0.451,0.421,0.02,0.005,0.845,0.015,0.072,0.159,0.028,0.028,7.48,1.4
Lao PDR,H390199,2001-11-12,2001,11,12,27.4,8.25,114.0,11.5,0.528,0.346,0.021,0.005,1.153,0.023,0.062,0.149,0.027,0.03,7.06,1.3
Lao PDR,H390199,2001-12-15,2001,12,15,27.2,7.2,109.0,12.7,0.575,0.288,0.026,0.004,1.279,0.014,0.043,0.027,0.095,0.016,7.06,1.6
Lao PDR,H910106,2001-08-21,2001,8,21,32.0,6.89,129.0,16.4,0.552,0.726,0.319,0.098,0.656,0.39,0.099,0.632,0.09,0.056,5.49,4.3
Lao PDR,H910107,2001-08-21,2001,8,21,33.0,6.87,121.0,12.7,0.601,0.3,0.101,0.046,0.68,0.282,0.079,0.298,0.104,0.044,4.58,4.2
Lao PDR,H011201,2002-02-14,2002,2,14,21.1,8.4,20.0,29.1,1.664,0.605,0.098,0.012,2.123,0.183,0.532,0.223,0.039,0.016,7.46,1.2
Lao PDR,H011201,2002-03-15,2002,3,15,26.0,7.54,35.0,29.6,1.758,0.462,0.09,0.01,2.031,0.194,0.467,0.132,0.046,0.018,8.1,1.1
Lao PDR,H011201,2002-04-13,2002,4,13,26.8,8.3,46.0,23.0,1.78,0.144,0.096,0.007,2.401,0.249,0.258,0.061,0.017,0.014,7.61,0.7
Lao PDR,H011201,2002-05-16,2002,5,16,29.8,8.14,80.0,24.3,1.66,0.385,0.095,0.007,1.917,0.395,0.445,0.335,0.014,0.013,7.41,1.1
Lao PDR,H011201,2002-06-15,2002,6,15,27.2,8.03,98.0,24.2,1.65,0.401,0.089,0.01,1.908,0.387,0.463,0.35,0.026,0.013,7.389,1.3
Lao PDR,H011201,2002-07-18,2002,7,18,24.8,8.0,120.0,18.6,1.211,0.41,0.082,0.015,1.532,0.252,0.314,0.262,0.041,0.05,9.0,1.46
Lao PDR,H011201,2002-08-15,2002,8,15,26.4,7.18,168.0,16.1,1.338,0.434,0.085,0.011,1.405,0.116,0.202,0.218,0.05,0.096,9.0,2.3
Lao PDR,H011201,2002-09-18,2002,9,18,26.2,7.78,153.0,17.9,1.138,0.619,0.076,0.009,1.747,0.066,0.422,0.267,0.032,0.054,8.2,1.8
Lao PDR,H011201,2002-10-16,2002,10,16,24.2,7.65,130.0,19.8,1.382,0.357,0.08,0.009,1.911,0.081,0.211,0.281,0.03,0.024,8.3,0.5
Lao PDR,H011201,2002-11-17,2002,11,17,23.4,7.45,86.0,20.5,1.596,0.298,0.089,0.012,1.847,0.099,0.37,0.262,0.032,0.061,9.0,0.8
Lao PDR,H011201,2002-12-18,2002,12,18,21.9,7.67,50.0,19.8,1.645,0.328,0.092,0.013,2.066,0.129,0.283,0.017,0.039,0.021,7.0,0.5
Lao PDR,H011901,2002-01-16,2002,1,16,21.2,8.56,28.0,26.0,1.581,0.258,0.123,0.018,2.029,0.219,0.516,0.124,0.049,0.033,7.84,0.5
Lao PDR,H011901,2002-02-20,2002,2,20,22.4,7.7,32.0,26.4,1.584,0.233,0.118,0.02,2.077,0.194,0.615,0.171,0.054,0.041,8.1,1.2
Lao PDR,H011901,2002-03-14,2002,3,14,26.1,8.32,40.0,27.9,1.611,0.253,0.095,0.03,2.22,0.235,0.584,0.153,0.041,0.045,7.53,1.2
Lao PDR,H011901,2002-04-16,2002,4,16,32.8,8.3,55.0,29.9,1.803,0.384,0.099,0.016,2.186,0.291,0.535,0.691,0.064,0.016,7.89,0.5
Lao PDR,H011901,2002-05-16,2002,5,16,30.6,8.29,92.0,29.6,1.663,0.24,0.088,0.021,1.731,0.397,0.037,0.358,0.019,0.038,7.465,1.1
Lao PDR,H011901,2002-06-19,2002,6,19,31.4,7.9,110.0,28.1,1.083,0.229,0.09,0.02,1.93,0.14,0.196,0.36,0.022,0.165,7.55,1.2
Lao PDR,H011901,2002-08-20,2002,8,20,28.0,7.03,152.0,15.9,1.373,0.409,0.08,0.018,1.26,0.107,0.192,0.246,0.057,0.222,7.45,1.9
Lao PDR,H011901,2002-09-19,2002,9,19,27.8,7.82,183.0,16.0,1.28,0.324,0.076,0.016,1.715,0.064,0.29,0.23,0.028,0.064,8.01,1.3
Lao PDR,H011901,2002-10-17,2002,10,17,27.6,7.79,140.0,20.3,1.407,0.422,0.085,0.019,1.779,0.084,0.541,0.153,0.026,0.082,7.68,0.6
Lao PDR,H011901,2002-11-26,2002,11,26,27.4,7.64,90.0,18.6,1.595,0.203,0.091,0.02,1.692,0.079,0.24,0.013,0.027,0.028,7.23,0.8
Lao PDR,H011901,2002-12-17,2002,12,17,28.3,7.53,48.0,20.1,1.601,0.335,0.093,0.022,1.558,0.138,0.26,0.113,0.071,0.02,8.2,0.4
Lao PDR,H013401,2002-01-16,2002,1,16,23.8,7.83,20.0,24.3,1.422,0.219,0.114,0.011,1.807,0.226,0.341,0.254,0.044,0.026,7.04,0.3
Lao PDR,H013401,2002-02-18,2002,2,18,24.0,7.6,28.0,24.1,1.441,0.185,0.108,0.009,1.882,0.25,0.571,0.153,0.062,0.032,6.96,1.1
Lao PDR,H013401,2002-03-19,2002,3,19,26.1,8.1,42.0,24.5,1.467,0.167,0.116,0.012,1.907,0.24,0.463,0.095,0.068,0.018,7.11,1.2
Lao PDR,H013401,2002-05-17,2002,5,17,28.6,8.23,78.0,23.4,1.58,0.181,0.095,0.014,1.812,0.392,0.397,0.134,0.02,0.034,8.01,0.8
Lao PDR,H013401,2002-06-15,2002,6,15,29.4,8.01,90.0,23.8,0.932,0.137,0.09,0.011,1.806,0.098,0.087,0.2,0.095,0.033,7.93,1.124
Lao PDR,H013401,2002-07-18,2002,7,18,29.0,7.53,110.0,19.8,1.038,0.346,0.091,0.014,1.126,0.101,0.126,0.246,0.058,0.036,7.84,2.0
Lao PDR,H013401,2002-08-15,2002,8,15,28.4,6.94,138.0,14.4,1.426,0.337,0.082,0.009,1.21,0.1,0.193,0.179,0.04,0.046,7.63,1.9
Lao PDR,H013401,2002-09-16,2002,9,16,28.0,7.14,160.0,13.0,1.059,0.421,0.08,0.013,1.252,0.065,0.134,0.163,0.034,0.032,8.21,1.9
Lao PDR,H013401,2002-10-19,2002,10,19,27.0,7.31,146.0,17.6,1.267,0.176,0.09,0.015,1.726,0.106,0.251,0.17,0.03,0.024,8.31,1.3
Lao PDR,H013401,2002-11-15,2002,11,15,26.0,7.43,103.0,18.2,1.489,0.201,0.094,0.016,1.619,0.096,0.212,0.185,0.027,0.053,7.54,0.8
Lao PDR,H013401,2002-12-17,2002,12,17,26.0,7.27,76.0,15.6,1.477,0.101,0.102,0.02,1.815,0.132,0.115,0.002,0.029,0.024,6.51,0.5
Lao PDR,H013901,2002-01-12,2002,1,12,25.8,7.99,22.0,22.3,1.299,0.295,0.216,0.011,1.694,0.208,0.33,0.355,0.044,0.003,8.12,0.7
Lao PDR,H013901,2002-02-13,2002,2,13,27.8,7.6,30.0,22.2,1.352,0.155,0.222,0.02,1.727,0.258,0.273,0.011,0.028,0.014,7.93,0.5
Lao PDR,H013901,2002-03-16,2002,3,16,26.0,8.22,41.0,23.7,1.524,0.671,0.306,0.013,1.813,0.283,0.268,0.244,0.058,0.031,8.213,0.6
Lao PDR,H013901,2002-04-14,2002,4,14,26.5,8.0,56.0,21.0,1.782,0.011,0.201,0.016,1.721,0.348,0.265,0.099,0.024,0.035,8.611,0.8
Lao PDR,H013901,2002-05-18,2002,5,18,27.6,8.45,71.0,21.6,1.504,0.212,0.214,0.022,1.675,0.389,0.342,0.133,0.013,0.039,7.938,0.8
Lao PDR,H013901,2002-06-14,2002,6,14,27.7,8.08,86.0,21.4,0.832,0.063,0.228,0.014,1.635,0.117,0.148,0.249,0.058,0.068,8.01,0.9
Lao PDR,H013901,2002-07-16,2002,7,16,27.2,7.8,100.0,16.3,0.836,0.13,0.206,0.02,1.034,0.11,0.15,0.26,0.102,0.095,7.3,1.7
Lao PDR,H013901,2002-08-13,2002,8,13,27.1,7.29,118.0,12.8,1.378,0.216,0.185,0.017,0.906,0.106,0.177,0.123,0.062,0.157,7.0,1.8
Lao PDR,H013901,2002-09-15,2002,9,15,27.0,7.7,145.0,14.9,0.783,0.382,0.19,0.015,0.964,0.074,0.178,0.12,0.047,0.053,8.0,1.6
Lao PDR,H013901,2002-10-14,2002,10,14,27.0,7.07,140.0,13.5,1.01,0.259,0.196,0.022,1.104,0.178,0.31,0.212,0.038,0.034,7.0,1.2
Lao PDR,H013901,2002-11-13,2002,11,13,28.0,7.52,90.0,16.6,1.069,0.56,0.216,0.024,1.314,0.104,0.257,0.21,0.023,0.058,7.0,1.3
Lao PDR,H013901,2002-12-16,2002,12,16,27.6,7.83,63.0,18.1,1.244,0.537,0.228,0.03,1.681,0.137,0.186,0.006,0.045,0.046,7.0,1.8
Lao PDR,H100101,2002-01-14,2002,1,14,20.6,8.6,16.0,26.6,1.356,0.084,0.093,0.008,1.929,0.048,0.147,0.056,0.03,0.011,6.76,0.9
Lao PDR,H100101,2002-02-14,2002,2,14,23.0,7.8,20.0,25.9,1.632,0.06,0.086,0.016,2.425,0.226,0.113,0.033,0.057,0.018,7.12,0.9
Lao PDR,H100101,2002-03-15,2002,3,15,26.1,8.36,28.0,26.7,1.694,0.673,0.091,0.011,2.45,0.306,0.324,0.009,0.071,0.011,7.61,1.3
Lao PDR,H100101,2002-04-13,2002,4,13,26.5,7.8,35.0,28.0,1.773,0.53,0.088,0.007,2.291,0.318,0.508,0.189,0.032,0.026,7.54,1.8
Lao PDR,H100101,2002-05-16,2002,5,16,28.3,7.17,49.0,20.6,1.577,0.155,0.087,0.008,1.939,0.207,0.226,0.235,0.017,0.03,6.83,0.1
Lao PDR,H100101,2002-06-15,2002,6,15,26.4,7.94,62.0,23.2,1.622,0.609,0.081,0.01,1.968,0.211,0.2,0.222,0.023,0.029,7.02,1.3
Lao PDR,H100101,2002-07-18,2002,7,18,24.4,7.4,80.0,16.4,1.102,0.48,0.085,0.015,1.06,0.102,0.149,0.188,0.04,0.04,9.0,1.8
Lao PDR,H100101,2002-08-15,2002,8,15,24.4,7.36,125.0,10.9,1.102,0.252,0.074,0.011,0.836,0.049,0.097,0.208,0.06,0.15,9.0,2.9
Lao PDR,H100101,2002-09-18,2002,9,18,26.0,7.83,120.0,18.6,1.165,0.729,0.08,0.012,0.704,0.066,0.492,0.108,0.015,0.031,7.45,1.6
Lao PDR,H100101,2002-10-16,2002,10,16,24.0,7.78,112.0,18.9,1.002,0.484,0.092,0.016,1.755,0.066,0.203,0.095,0.022,0.014,8.11,0.4
Lao PDR,H100101,2002-11-17,2002,11,17,23.2,7.39,86.0,21.5,1.845,0.153,0.101,0.02,2.18,0.114,0.108,0.08,0.029,0.047,9.0,0.7
Lao PDR,H100101,2002-12-18,2002,12,18,22.0,6.93,70.0,21.3,1.758,0.441,0.11,0.021,2.42,0.018,0.235,0.003,0.022,0.026,7.5,0.2
Lao PDR,H230102,2002-01-17,2002,1,17,24.6,8.05,8.0,11.8,0.761,0.029,0.094,0.01,1.058,0.108,0.07,0.011,0.084,0.004,6.84,0.4
Lao PDR,H230102,2002-02-12,2002,2,12,25.6,8.1,12.0,11.4,0.405,0.249,0.091,0.009,1.033,0.053,0.091,0.066,0.024,0.006,6.93,0.4
Lao PDR,H230102,2002-03-13,2002,3,13,26.2,7.4,20.0,11.0,0.533,0.21,0.095,0.007,1.034,0.076,0.063,0.055,0.05,0.006,7.11,0.4
Lao PDR,H230102,2002-04-15,2002,4,15,29.3,7.6,29.0,11.3,0.769,0.028,0.086,0.009,1.046,0.097,0.016,0.25,0.055,0.01,6.96,0.2
Lao PDR,H230102,2002-05-15,2002,5,15,28.1,7.75,48.0,10.5,0.536,0.104,0.087,0.008,1.046,0.059,0.088,0.173,0.038,0.009,7.02,0.1
Lao PDR,H230102,2002-06-18,2002,6,18,28.1,7.8,63.0,13.3,0.717,0.061,0.081,0.006,1.053,0.016,0.002,0.17,0.04,0.027,7.7,0.5
Lao PDR,H230102,2002-07-17,2002,7,17,26.4,7.56,75.0,12.8,0.732,0.126,0.09,0.007,0.909,0.035,0.03,0.124,0.042,0.031,7.2,1.62
Lao PDR,H230102,2002-08-20,2002,8,20,27.0,6.94,89.0,8.4,0.87,0.264,0.08,0.005,0.714,0.047,0.06,0.095,0.034,0.037,7.42,1.3
Lao PDR,H230102,2002-09-19,2002,9,19,27.0,6.25,96.0,8.0,0.683,0.264,0.073,0.01,0.849,0.063,0.123,0.104,0.029,0.018,7.3,1.4
Lao PDR,H230102,2002-10-17,2002,10,17,28.4,7.2,90.0,11.7,0.897,0.258,0.088,0.012,1.059,0.088,0.229,0.11,0.025,0.013,7.23,0.4
Lao PDR,H230102,2002-11-26,2002,11,26,26.8,7.14,82.0,9.3,0.957,0.443,0.093,0.021,1.882,0.057,0.057,0.253,0.021,0.036,7.18,0.8
Lao PDR,H230102,2002-12-17,2002,12,17,27.2,7.6,41.0,11.9,0.956,0.207,0.096,0.019,1.136,0.055,0.058,0.026,0.037,0.021,5.63,0.2
Lao PDR,H230199,2002-01-17,2002,1,17,24.1,8.0,4.0,8.8,0.45,0.106,0.096,0.008,0.877,0.031,0.011,0.064,0.065,0.003,5.4,0.5
Lao PDR,H230199,2002-02-12,2002,2,12,25.0,8.0,4.0,8.9,0.515,0.055,0.075,0.005,0.937,0.033,0.036,0.012,0.017,0.006,5.5,0.6
Lao PDR,H230199,2002-03-13,2002,3,13,24.7,7.0,5.0,8.38,0.5,0.106,0.08,0.007,0.866,0.038,0.042,0.023,0.039,0.006,5.2,0.8
Lao PDR,H230199,2002-04-15,2002,4,15,28.6,7.9,4.0,9.8,0.599,0.104,0.082,0.006,1.568,0.047,0.064,0.04,0.058,0.01,4.9,0.2
Lao PDR,H230199,2002-05-15,2002,5,15,27.7,7.72,7.0,8.4,0.641,0.018,0.079,0.006,0.926,0.016,0.023,0.068,0.029,0.011,5.0,2.1
Lao PDR,H230199,2002-07-17,2002,7,17,28.6,7.5,12.0,8.2,0.538,0.129,0.08,0.003,0.84,0.026,0.022,0.023,0.03,0.016,4.0,2.1
Lao PDR,H230199,2002-08-20,2002,8,20,26.0,6.78,18.0,7.9,0.548,0.137,0.073,0.006,0.816,0.042,0.04,0.023,0.059,0.03,4.3,1.9
Lao PDR,H230199,2002-09-19,2002,9,19,26.3,6.24,22.0,9.3,0.713,0.259,0.074,0.009,0.916,0.048,0.057,0.02,0.028,0.014,9.0,1.9
Lao PDR,H230199,2002-10-17,2002,10,17,26.8,7.3,10.0,9.7,0.75,0.281,0.082,0.012,0.952,0.034,0.077,0.019,0.055,0.013,4.0,0.4
Lao PDR,H230199,2002-11-26,2002,11,26,26.8,7.18,6.0,12.3,0.851,0.081,0.091,0.013,0.939,0.022,0.037,0.018,0.031,0.029,6.0,0.7
Lao PDR,H230199,2002-12-17,2002,12,17,26.7,7.65,5.0,9.72,0.787,0.209,0.095,0.011,0.933,0.022,0.042,0.004,0.042,0.02,4.0,0.3
Lao PDR,H230206,2002-01-17,2002,1,17,22.7,8.5,22.0,23.9,1.528,0.193,0.092,0.009,1.989,0.12,0.4,0.187,0.039,0.003,6.84,1.6
Lao PDR,H230206,2002-02-12,2002,2,12,24.2,7.95,28.0,24.6,1.62,0.345,0.085,0.009,1.99,0.122,0.306,0.164,0.041,0.01,7.06,1.6
Lao PDR,H230206,2002-04-15,2002,4,15,32.0,7.9,53.0,2.66,1.954,0.691,0.079,0.008,2.41,0.236,0.045,0.062,0.063,0.014,7.11,0.3
Lao PDR,H230206,2002-05-15,2002,5,15,27.3,7.87,64.0,13.8,1.126,0.169,0.075,0.008,1.243,0.081,0.237,0.331,0.022,0.026,6.86,1.1
Lao PDR,H230206,2002-06-18,2002,6,18,28.3,7.49,78.0,17.2,0.903,0.091,0.077,0.007,1.268,0.033,0.03,0.218,0.094,0.03,6.95,1.1
Lao PDR,H230206,2002-07-17,2002,7,17,28.0,7.3,86.0,16.3,0.99,0.247,0.076,0.006,1.211,0.044,0.196,0.095,0.043,0.035,7.02,2.0
Lao PDR,H230206,2002-08-20,2002,8,20,27.4,6.69,100.0,11.5,0.993,0.243,0.07,0.007,0.907,0.053,0.128,0.162,0.07,0.043,6.97,1.9
Lao PDR,H230206,2002-09-19,2002,9,19,27.6,6.28,118.0,12.2,0.738,0.404,0.088,0.009,0.962,0.079,0.199,0.14,0.027,0.155,8.02,1.8
Lao PDR,H230206,2002-10-17,2002,10,17,27.6,6.9,90.0,16.5,1.286,0.338,0.09,0.012,1.553,0.072,0.127,0.11,0.024,0.024,8.11,0.1
Lao PDR,H230206,2002-11-26,2002,11,26,26.0,7.58,86.0,18.9,1.432,0.389,0.096,0.012,1.79,0.063,0.201,0.119,0.031,0.087,7.63,1.5
Lao PDR,H230206,2002-12-17,2002,12,17,25.9,6.66,43.0,22.4,1.733,0.496,0.102,0.014,2.313,0.076,0.203,0.047,0.063,0.03,8.06,0.2
Lao PDR,H231801,2002-01-17,2002,1,17,25.0,7.8,6.0,3.89,0.003,0.001,0.036,0.007,0.372,0.025,0.013,0.255,0.126,0.003,6.92,2.1
Lao PDR,H231801,2002-02-12,2002,2,12,25.0,8.08,7.0,3.8,0.259,0.013,0.033,0.007,0.376,0.011,0.007,0.012,0.029,0.036,6.83,2.3
Lao PDR,H231801,2002-03-13,2002,3,13,26.1,6.9,6.0,3.88,1.93,0.18,0.029,0.005,0.707,0.042,0.033,0.005,0.081,0.036,6.95,2.2
Lao PDR,H231801,2002-04-15,2002,4,15,30.9,8.22,9.0,4.2,0.18,0.025,0.029,0.006,0.405,0.072,0.045,0.016,0.015,0.018,7.08,2.0
Lao PDR,H231801,2002-05-15,2002,5,15,29.3,7.03,10.0,3.5,0.058,0.011,0.027,0.005,0.372,0.015,0.012,0.235,0.016,0.02,6.9,0.1
Lao PDR,H231801,2002-06-18,2002,6,18,31.0,7.0,16.0,4.0,0.106,0.05,0.025,0.004,0.364,0.016,0.003,0.216,0.02,0.022,6.88,0.1
Lao PDR,H231801,2002-07-17,2002,7,17,29.0,7.15,20.0,4.0,0.216,0.184,0.025,0.005,0.384,0.031,0.02,0.235,0.087,0.02,6.93,0.1
Lao PDR,H231801,2002-08-20,2002,8,20,28.6,7.22,22.0,3.9,0.365,0.256,0.02,0.005,0.402,0.046,0.048,0.122,0.097,0.021,7.08,1.1
Lao PDR,H231801,2002-09-19,2002,9,19,29.0,2.96,31.0,4.4,0.325,0.156,0.019,0.008,0.318,0.081,0.055,0.083,0.013,0.129,7.13,1.21
Lao PDR,H231801,2002-10-17,2002,10,17,28.3,6.3,26.0,3.1,0.268,0.122,0.022,0.009,0.312,0.028,0.06,0.06,0.019,0.032,7.11,1.2
Lao PDR,H231801,2002-11-26,2002,11,26,26.8,7.38,18.0,3.55,0.295,0.219,0.021,0.013,0.325,0.028,0.014,0.036,0.02,0.064,6.92,2.1
Lao PDR,H231801,2002-12-17,2002,12,17,26.8,6.73,10.0,3.32,0.475,0.108,0.028,0.012,0.401,0.016,0.02,0.004,0.052,0.02,7.2,1.0
Lao PDR,H231901,2002-01-17,2002,1,17,25.1,7.33,8.0,3.94,0.009,0.009,0.028,0.009,0.391,0.056,0.084,0.068,0.105,0.003,6.92,3.4
Lao PDR,H231901,2002-02-12,2002,2,12,24.8,7.7,8.0,4.2,0.221,0.159,0.026,0.008,0.41,0.013,0.008,0.019,0.075,0.02,7.03,3.5
Lao PDR,H231901,2002-03-13,2002,3,13,26.3,6.7,9.0,3.97,0.201,0.16,0.022,0.009,0.436,0.018,0.013,0.024,0.128,0.014,6.84,3.4
Lao PDR,H231901,2002-04-15,2002,4,15,29.3,7.72,10.0,3.95,0.198,0.13,0.024,0.006,0.395,0.016,0.013,0.026,0.095,0.018,6.8,3.612
Lao PDR,H231901,2002-05-15,2002,5,15,28.6,7.36,16.0,3.88,0.196,0.14,0.02,0.007,0.387,0.019,0.018,0.029,0.078,0.019,6.98,4.3
Lao PDR,H231901,2002-06-18,2002,6,18,28.3,7.07,22.0,3.9,0.106,0.1,0.025,0.005,0.39,0.025,0.027,0.035,0.068,0.025,6.88,3.3
Lao PDR,H231901,2002-07-17,2002,7,17,28.0,8.03,30.0,3.9,0.21,0.093,0.021,0.005,0.286,0.021,0.025,0.04,0.12,0.018,6.92,3.4
Lao PDR,H231901,2002-08-20,2002,8,20,27.8,7.09,46.0,3.89,0.206,0.09,0.018,0.004,0.275,0.019,0.021,0.033,0.098,0.021,7.02,4.2
Lao PDR,H231901,2002-09-19,2002,9,19,28.0,7.86,51.0,4.0,0.216,0.121,0.022,0.006,0.22,0.023,0.026,0.011,0.103,0.029,6.84,3.8
Lao PDR,H231901,2002-10-17,2002,10,17,28.2,7.63,39.0,4.1,0.211,0.111,0.024,0.008,0.216,0.023,0.025,0.013,0.11,0.02,6.92,3.1
Lao PDR,H231901,2002-11-26,2002,11,26,27.6,7.5,31.0,4.0,0.2,0.109,0.023,0.012,0.21,0.024,0.026,0.016,0.093,0.019,7.11,2.9
Lao PDR,H231901,2002-12-17,2002,12,17,27.8,7.02,19.0,4.2,0.387,0.107,0.025,0.013,0.375,0.015,0.037,0.01,0.068,0.03,6.86,1.9
Lao PDR,H320101,2002-07-17,2002,7,17,26.0,7.2,96.0,20.4,1.61,0.196,0.116,0.026,1.908,0.046,0.029,0.306,0.021,0.02,7.21,1.3
Lao PDR,H320101,2002-08-15,2002,8,15,26.0,7.14,117.0,16.1,1.903,0.307,0.098,0.03,1.25,0.081,0.053,0.123,0.02,0.021,7.3,1.1
Lao PDR,H320101,2002-09-16,2002,9,16,26.4,7.07,120.0,14.3,1.331,0.222,0.084,0.035,1.47,0.071,0.118,0.102,0.022,0.02,7.33,1.1
Lao PDR,H320101,2002-12-16,2002,12,16,26.0,7.1,70.0,25.3,1.658,0.323,0.12,0.048,1.047,0.015,0.051,0.001,0.023,0.016,7.4,0.2
Lao PDR,H350101,2002-01-16,2002,1,16,26.1,8.25,28.0,25.8,0.547,0.008,0.102,0.036,0.907,0.134,0.036,0.121,0.094,0.006,6.89,0.7
Lao PDR,H350101,2002-02-18,2002,2,18,26.0,8.25,33.0,26.7,0.713,0.18,0.098,0.04,1.255,0.044,0.16,0.066,0.043,0.125,6.98,1.3
Lao PDR,H350101,2002-03-19,2002,3,19,26.2,7.8,35.0,16.0,0.612,0.193,0.086,0.028,1.368,0.09,0.098,0.12,0.077,0.123,7.05,1.5
Lao PDR,H350101,2002-04-18,2002,4,18,27.8,7.9,35.0,26.2,0.762,0.121,0.09,0.025,1.211,0.096,0.103,0.106,0.063,0.026,7.1,1.7
Lao PDR,H350101,2002-05-17,2002,5,17,28.0,7.93,78.0,11.8,0.78,0.12,0.082,0.03,1.152,0.098,0.099,0.164,0.02,0.03,6.95,0.6
Lao PDR,H350101,2002-06-15,2002,6,15,26.6,7.78,90.0,20.3,0.043,0.049,0.081,0.025,1.168,0.092,0.086,0.163,0.018,0.065,7.02,0.8
Lao PDR,H350101,2002-09-16,2002,9,16,26.8,6.91,153.0,6.1,0.464,0.22,0.081,0.034,0.722,0.041,0.117,0.812,0.026,0.045,7.12,1.3
Lao PDR,H350101,2002-10-18,2002,10,18,27.0,7.12,14.6,8.5,0.628,0.175,0.093,0.045,0.876,0.051,0.088,0.633,0.022,0.014,7.61,1.0
Lao PDR,H350101,2002-11-15,2002,11,15,28.0,7.15,122.0,9.51,0.667,0.227,0.101,0.038,0.914,0.104,0.032,0.133,0.019,0.034,7.82,1.1
Lao PDR,H350101,2002-12-17,2002,12,17,27.0,7.11,86.0,10.3,0.79,0.187,0.113,0.042,1.08,0.042,0.058,0.004,0.09,0.016,7.9,0.5
Lao PDR,H390104,2002-01-12,2002,1,12,27.0,7.8,25.0,31.5,0.537,0.375,0.216,0.039,1.261,0.045,0.07,0.093,0.029,0.011,8.76,1.8
Lao PDR,H390104,2002-02-13,2002,2,13,27.2,7.95,28.0,31.6,0.57,0.324,0.22,0.05,1.385,0.051,0.131,0.017,0.037,0.013,7.93,1.8
Lao PDR,H390104,2002-04-14,2002,4,14,26.7,7.7,30.0,14.0,0.617,0.521,0.089,0.041,1.569,0.1,0.03,0.091,0.041,0.018,8.01,2.5
Lao PDR,H390104,2002-05-18,2002,5,18,27.2,7.9,55.0,11.7,0.616,0.207,0.107,0.039,1.288,0.035,0.038,0.022,0.03,0.03,8.2,8.5
Lao PDR,H390104,2002-06-14,2002,6,14,27.6,7.94,68.0,18.6,0.275,0.063,0.088,0.033,1.3,0.019,0.005,0.039,0.041,0.159,8.02,8.0
Lao PDR,H390104,2002-07-16,2002,7,16,27.5,7.5,89.0,15.3,0.934,0.412,0.073,0.02,1.012,0.026,0.03,0.088,0.064,0.12,7.84,2.3
Lao PDR,H390104,2002-08-13,2002,8,13,27.3,7.07,104.0,5.6,0.429,0.274,0.079,0.018,0.512,0.049,0.036,0.051,0.021,0.035,7.93,3.6
Lao PDR,H390104,2002-09-15,2002,9,15,27.4,7.32,120.0,6.93,0.501,0.273,0.091,0.023,1.047,0.056,0.103,0.078,0.02,0.013,8.06,2.8
Lao PDR,H390104,2002-10-14,2002,10,14,27.6,8.44,112.0,10.1,0.773,0.326,0.114,0.026,1.203,0.033,0.068,0.092,0.066,0.018,8.1,1.2
Lao PDR,H390104,2002-11-13,2002,11,13,28.6,7.69,103.0,10.6,0.641,0.379,0.2,0.03,1.168,0.022,0.091,0.123,0.022,0.037,8.02,1.8
Lao PDR,H390104,2002-12-16,2002,12,16,27.5,7.7,85.0,12.3,0.818,0.375,0.195,0.028,1.434,0.014,0.056,0.007,0.021,0.019,7.63,0.2
Lao PDR,H390199,2002-01-12,2002,1,12,27.2,7.55,28.0,31.6,0.524,0.383,0.201,0.04,1.262,0.023,0.045,0.197,0.043,0.033,8.8,1.7
Lao PDR,H390199,2002-02-13,2002,2,13,27.4,8.2,30.0,31.5,0.569,0.3,0.211,0.044,1.384,0.049,0.124,0.012,0.025,0.011,8.0,1.8
